# Auto-generated by gen_game_ctx.py -- DO NOT EDIT
# source_file	line_no	scope	storage	original_name	member_name	kind	type	raw_decl
field_specials.c	51	file	static	sBrailleTextCursorSpriteID	sBrailleTextCursorSpriteID	plain	u8	static EWRAM_DATA u8 sBrailleTextCursorSpriteID = 0;
field_weather.c	43	file	static	sWeather	sWeather	plain	struct Weather	static EWRAM_DATA struct Weather sWeather = {};
field_weather.c	44	file	static	sFieldEffectPaletteGammaTypes	sFieldEffectPaletteGammaTypes	plain	u8[32]	static EWRAM_DATA u8 sFieldEffectPaletteGammaTypes[32] = {};
field_weather.c	45	file	static	sPaletteGammaTypes	sPaletteGammaTypes	plain	const u8 *	static EWRAM_DATA const u8 *sPaletteGammaTypes = NULL;
field_weather.c	46	file	static	sDroughtFrameDelay	sDroughtFrameDelay	plain	u16	static EWRAM_DATA u16 sDroughtFrameDelay = 0;
fieldmap.c	18	file	global	gBackupMapData	gBackupMapData	plain	u16[VIRTUAL_MAP_SIZE]	EWRAM_DATA u16 gBackupMapData[VIRTUAL_MAP_SIZE] = {};
fieldmap.c	19	file	global	gMapHeader	gMapHeader	plain	struct MapHeader	EWRAM_DATA struct MapHeader gMapHeader = {};
fieldmap.c	20	file	global	gCamera	gCamera	plain	struct Camera	EWRAM_DATA struct Camera gCamera = {};
fieldmap.c	21	file	static	gMapConnectionFlags	gMapConnectionFlags	plain	struct ConnectionFlags	static EWRAM_DATA struct ConnectionFlags gMapConnectionFlags = {};
fieldmap.c	22	file	global	gGlobalFieldTintMode	gGlobalFieldTintMode	plain	u8	EWRAM_DATA u8 gGlobalFieldTintMode = QL_TINT_NONE;
fldeff_cut.c	24	file	static	sCutGrassSpriteArrayPtr	sCutGrassSpriteArrayPtr	plain	u8 *	static EWRAM_DATA u8 *sCutGrassSpriteArrayPtr = NULL;
fldeff_cut.c	25	file	static	sScheduleOpenDottedHole	sScheduleOpenDottedHole	plain	bool8	static EWRAM_DATA bool8 sScheduleOpenDottedHole = FALSE;
fldeff_rocksmash.c	24	file	global	gPlayerFacingPosition	gPlayerFacingPosition	plain	struct MapPosition	EWRAM_DATA struct MapPosition gPlayerFacingPosition = {};
fldeff_sweetscent.c	13	file	static	sPlttBufferBak	sPlttBufferBak	plain	u8 *	static EWRAM_DATA u8 *sPlttBufferBak = NULL;
hall_of_fame.c	56	file	static	sSelectedPaletteIndices	sSelectedPaletteIndices	plain	u32	static EWRAM_DATA u32 sSelectedPaletteIndices = 0;
hall_of_fame.c	57	file	static	sHofMonPtr	sHofMonPtr	plain	struct HallofFameTeam *	static EWRAM_DATA struct HallofFameTeam * sHofMonPtr = NULL;
hall_of_fame.c	58	file	static	sHofGfxPtr	sHofGfxPtr	plain	struct HofGfx *	static EWRAM_DATA struct HofGfx * sHofGfxPtr = NULL;
help_message.c	6	file	static	sHelpMessageWindowId	sHelpMessageWindowId	plain	u8	static EWRAM_DATA u8 sHelpMessageWindowId = 0;
help_system.c	34	file	static	sHelpSystemContextId	sHelpSystemContextId	plain	u16	static EWRAM_DATA u16 sHelpSystemContextId = 0;
help_system.c	35	file	static	sSeenHelpSystemIntro	sSeenHelpSystemIntro	plain	u8	static EWRAM_DATA u8 sSeenHelpSystemIntro = 0;
help_system_util.c	28	file	static	sMapTilesBackup	sMapTilesBackup	plain	u8[BG_CHAR_SIZE]	static EWRAM_DATA u8 sMapTilesBackup[BG_CHAR_SIZE] = {0};
help_system_util.c	29	file	global	gDisableHelpSystemVolumeReduce	gDisableHelpSystemVolumeReduce	plain	u8	EWRAM_DATA u8 gDisableHelpSystemVolumeReduce = 0;
help_system_util.c	30	file	global	gHelpSystemToggleWithRButtonDisabled	gHelpSystemToggleWithRButtonDisabled	plain	bool8	EWRAM_DATA bool8 gHelpSystemToggleWithRButtonDisabled = FALSE;
help_system_util.c	31	file	static	sDelayTimer	sDelayTimer	plain	u8	static EWRAM_DATA u8 sDelayTimer = 0;
help_system_util.c	32	file	static	sInHelpSystem	sInHelpSystem	plain	u8	static EWRAM_DATA u8 sInHelpSystem = 0;
help_system_util.c	33	file	static	sVideoState	sVideoState	plain	struct HelpSystemVideoState	static EWRAM_DATA struct HelpSystemVideoState sVideoState = {0};
help_system_util.c	34	file	global	gHelpSystemListMenu	gHelpSystemListMenu	plain	struct HelpSystemListMenu	EWRAM_DATA struct HelpSystemListMenu gHelpSystemListMenu = {0};
help_system_util.c	35	file	global	gHelpSystemListMenuItems	gHelpSystemListMenuItems	plain	struct ListMenuItem[52]	EWRAM_DATA struct ListMenuItem gHelpSystemListMenuItems[52] = {0};
intro.c	152	file	static	sGcmb	sGcmb	plain	struct GcmbStruct	static EWRAM_DATA struct GcmbStruct sGcmb = {0};
intro.c	153	file	static	sUnusedScene3Var0	sUnusedScene3Var0	plain	u16	static EWRAM_DATA u16 sUnusedScene3Var0 = 0; // Set but never read
intro.c	154	file	static	sUnusedScene3Var1	sUnusedScene3Var1	plain	u16	static EWRAM_DATA u16 sUnusedScene3Var1 = 0; // Set but never read
intro.c	155	file	static	sNidorinoJumpMult	sNidorinoJumpMult	plain	u16	static EWRAM_DATA u16 sNidorinoJumpMult = 0;
intro.c	156	file	static	sNidorinoAnimDelayTime	sNidorinoAnimDelayTime	plain	u16	static EWRAM_DATA u16 sNidorinoAnimDelayTime = 0;
intro.c	157	file	static	sNidorinoJumpDiv	sNidorinoJumpDiv	plain	u16	static EWRAM_DATA u16 sNidorinoJumpDiv = 0;
intro.c	158	file	static	sNidorinoRecoilReturnTime	sNidorinoRecoilReturnTime	plain	u16	static EWRAM_DATA u16 sNidorinoRecoilReturnTime = 0;
intro.c	159	file	static	sNidorinoUnusedVar	sNidorinoUnusedVar	plain	u16	static EWRAM_DATA u16 sNidorinoUnusedVar = 0; // Set but never read
intro.c	160	file	static	sStarSpeedX	sStarSpeedX	plain	u16	static EWRAM_DATA u16 sStarSpeedX = 0;
intro.c	161	file	static	sStarSpeedY	sStarSpeedY	plain	u16	static EWRAM_DATA u16 sStarSpeedY = 0;
intro.c	162	file	static	sStarSparklesXmodMask	sStarSparklesXmodMask	plain	u16	static EWRAM_DATA u16 sStarSparklesXmodMask = 0;
intro.c	163	file	static	sStarSparklesUnusedVar	sStarSparklesUnusedVar	plain	u16	static EWRAM_DATA u16 sStarSparklesUnusedVar = 0; // Set but never read
intro.c	164	file	static	sStarSparklesSpawnRate	sStarSparklesSpawnRate	plain	u16	static EWRAM_DATA u16 sStarSparklesSpawnRate = 0;
intro.c	165	file	static	sStarSparklesFlickerStartTime	sStarSparklesFlickerStartTime	plain	u16	static EWRAM_DATA u16 sStarSparklesFlickerStartTime = 0;
intro.c	166	file	static	sStarSparklesDestroySpriteTime	sStarSparklesDestroySpriteTime	plain	u16	static EWRAM_DATA u16 sStarSparklesDestroySpriteTime = 0;
intro.c	167	file	static	sStarSparklesGravityShift	sStarSparklesGravityShift	plain	u16	static EWRAM_DATA u16 sStarSparklesGravityShift = 0;
intro.c	168	file	static	sStarSparklesXspeed	sStarSparklesXspeed	plain	u16	static EWRAM_DATA u16 sStarSparklesXspeed = 0;
intro.c	169	file	static	sStarSparklesYspeed	sStarSparklesYspeed	plain	u16	static EWRAM_DATA u16 sStarSparklesYspeed = 0;
intro.c	170	file	static	sStarSparklesXprecision	sStarSparklesXprecision	plain	u16	static EWRAM_DATA u16 sStarSparklesXprecision = 0;
intro.c	171	file	static	sStarSparklesYprecision	sStarSparklesYprecision	plain	u16	static EWRAM_DATA u16 sStarSparklesYprecision = 0;
intro.c	1960	function	static	sStarSparklesRngSeed	sStarSparklesRngSeed	plain	u32	static EWRAM_DATA u32 sStarSparklesRngSeed = 0;
intro.c	2000	function	static	sYmod	sYmod	plain	s16	static EWRAM_DATA s16 sYmod = 0;
intro.c	2255	function	static	sGengarScroll	sGengarScroll	plain	u32	static EWRAM_DATA u32 sGengarScroll = 0;
item.c	14	file	global	gBagPockets	gBagPockets	plain	struct BagPocket[NUM_BAG_POCKETS]	EWRAM_DATA struct BagPocket gBagPockets[NUM_BAG_POCKETS] = {};
item_menu.c	66	file	global	gBagMenuState	gBagMenuState	plain	struct BagStruct	EWRAM_DATA struct BagStruct gBagMenuState = {};
item_menu.c	67	file	static	sBagMenuDisplay	sBagMenuDisplay	plain	struct BagMenuAlloc *	static EWRAM_DATA struct BagMenuAlloc * sBagMenuDisplay = NULL;
item_menu.c	68	file	static	sBagBgTilemapBuffer	sBagBgTilemapBuffer	plain	void *	static EWRAM_DATA void *sBagBgTilemapBuffer = NULL;
item_menu.c	69	file	static	sListMenuItems	sListMenuItems__item_menu	plain	struct ListMenuItem *	static EWRAM_DATA struct ListMenuItem * sListMenuItems = NULL;
item_menu.c	70	file	static	sListMenuItemStrings	sListMenuItemStrings	ptr_to_array	u8 (*sListMenuItemStrings)[19]	static EWRAM_DATA u8 (*sListMenuItemStrings)[19] = NULL;
item_menu.c	71	file	static	sContextMenuItemsBuffer	sContextMenuItemsBuffer	plain	u8[4]	static EWRAM_DATA u8 sContextMenuItemsBuffer[4] = {};
item_menu.c	72	file	static	sContextMenuItemsPtr	sContextMenuItemsPtr	plain	const u8 *	static EWRAM_DATA const u8 *sContextMenuItemsPtr = NULL;
item_menu.c	73	file	static	sContextMenuNumItems	sContextMenuNumItems	plain	u8	static EWRAM_DATA u8 sContextMenuNumItems = 0;
item_menu.c	74	file	static	sBackupPlayerBag	sBackupPlayerBag	plain	struct BagSlots *	static EWRAM_DATA struct BagSlots * sBackupPlayerBag = NULL;
item_menu.c	75	file	global	gSpecialVar_ItemId	gSpecialVar_ItemId	plain	u16	EWRAM_DATA u16 gSpecialVar_ItemId = ITEM_NONE;
item_menu_icons.c	37	file	static	sItemMenuIconSpriteIds	sItemMenuIconSpriteIds	plain	u8[9]	static EWRAM_DATA u8 sItemMenuIconSpriteIds[SPR_COUNT] = {0};
item_menu_icons.c	38	file	static	sItemIconTilesBuffer	sItemIconTilesBuffer	plain	void *	static EWRAM_DATA void *sItemIconTilesBuffer = NULL;
item_menu_icons.c	39	file	static	sItemIconTilesBufferPadded	sItemIconTilesBufferPadded	plain	void *	static EWRAM_DATA void *sItemIconTilesBufferPadded = NULL;
item_pc.c	47	file	static	sStateDataPtr	sStateDataPtr	plain	struct ItemPcResources *	static EWRAM_DATA struct ItemPcResources * sStateDataPtr = NULL;
item_pc.c	48	file	static	sBg1TilemapBuffer	sBg1TilemapBuffer__item_pc	plain	u8 *	static EWRAM_DATA u8 * sBg1TilemapBuffer = NULL;
item_pc.c	49	file	static	sListMenuItems	sListMenuItems__item_pc	plain	struct ListMenuItem *	static EWRAM_DATA struct ListMenuItem * sListMenuItems = NULL;
item_pc.c	50	file	static	sUnusedStringAllocation	sUnusedStringAllocation	plain	u8 *	static EWRAM_DATA u8 * sUnusedStringAllocation = NULL;
item_pc.c	51	file	static	sListMenuState	sListMenuState	plain	struct ItemPcStaticResources	static EWRAM_DATA struct ItemPcStaticResources sListMenuState = {};
item_pc.c	52	file	static	sSubmenuWindowIds	sSubmenuWindowIds	plain	u8[3]	static EWRAM_DATA u8 sSubmenuWindowIds[3] = {};
item_use.c	42	file	static	sItemUseOnFieldCB	sItemUseOnFieldCB	func_ptr	void (*sItemUseOnFieldCB)(u8 taskId)	static EWRAM_DATA void (*sItemUseOnFieldCB)(u8 taskId) = NULL;
learn_move.c	153	file	static	sMoveRelearner	sMoveRelearner	plain	struct LearnMoveGfxResources *	static EWRAM_DATA struct LearnMoveGfxResources * sMoveRelearner = NULL;
link.c	112	file	global	sLinkErrorBuffer	sLinkErrorBuffer	anon_struct	struct { u32 status; u8 lastRecvQueueCount; u8 lastSendQueueCount; bool8 disconnected; }	EWRAM_DATA struct {\n    u32 status;\n    u8 lastRecvQueueCount;\n    u8 lastSendQueueCount;\n    bool8 disconnected;\n} sLinkErrorBuffer = {};
link.c	101	file	static	sLinkTestDebugValuesEnabled	sLinkTestDebugValuesEnabled	plain	bool8	static EWRAM_DATA bool8 sLinkTestDebugValuesEnabled = FALSE;
link.c	102	file	static	sDummyFlag	sDummyFlag	plain	bool8	static EWRAM_DATA bool8 sDummyFlag = FALSE;
link.c	103	file	global	gBerryBlenderKeySendAttempts	gBerryBlenderKeySendAttempts	plain	u32	EWRAM_DATA u32 gBerryBlenderKeySendAttempts = 0;
link.c	104	file	global	gBlockRecvBuffer	gBlockRecvBuffer	plain	u16[MAX_RFU_PLAYERS][BLOCK_BUFFER_SIZE / 2]	EWRAM_DATA u16 gBlockRecvBuffer[MAX_RFU_PLAYERS][BLOCK_BUFFER_SIZE / 2] = {};
link.c	105	file	global	gBlockSendBuffer	gBlockSendBuffer	plain	u8[BLOCK_BUFFER_SIZE]	EWRAM_DATA u8 gBlockSendBuffer[BLOCK_BUFFER_SIZE] = {};
link.c	106	file	static	sLinkOpen	sLinkOpen	plain	bool8	static EWRAM_DATA bool8 sLinkOpen = FALSE;
link.c	107	file	global	gLinkType	gLinkType	plain	u16	EWRAM_DATA u16 gLinkType = 0;
link.c	108	file	static	sTimeOutCounter	sTimeOutCounter	plain	u16	static EWRAM_DATA u16 sTimeOutCounter = 0;
link.c	109	file	global	gLocalLinkPlayer	gLocalLinkPlayer	plain	struct LinkPlayer	EWRAM_DATA struct LinkPlayer gLocalLinkPlayer = {};
link.c	110	file	global	gLinkPlayers	gLinkPlayers	plain	struct LinkPlayer[MAX_RFU_PLAYERS]	EWRAM_DATA struct LinkPlayer gLinkPlayers[MAX_RFU_PLAYERS] = {};
link.c	111	file	global	gSavedLinkPlayers	gSavedLinkPlayers	plain	struct LinkPlayer[MAX_RFU_PLAYERS]	EWRAM_DATA struct LinkPlayer gSavedLinkPlayers[MAX_RFU_PLAYERS] = {};
link.c	118	file	static	sReadyCloseLinkAttempts	sReadyCloseLinkAttempts	plain	u16	static EWRAM_DATA u16 sReadyCloseLinkAttempts = 0; // never read
link.c	119	file	static	sLinkErrorBgTilemapBuffer	sLinkErrorBgTilemapBuffer	plain	void *	static EWRAM_DATA void *sLinkErrorBgTilemapBuffer = NULL;
link_rfu_2.c	71	file	static	sRfuReqConfig	sRfuReqConfig	plain	INIT_PARAM	static EWRAM_DATA INIT_PARAM sRfuReqConfig = {};
link_rfu_2.c	72	file	static	sRfuDebug	sRfuDebug	plain	struct RfuDebug	static EWRAM_DATA struct RfuDebug sRfuDebug = {};
link_rfu_3.c	32	file	static	sWirelessStatusIndicatorSpriteId	sWirelessStatusIndicatorSpriteId	plain	u8	static EWRAM_DATA u8 sWirelessStatusIndicatorSpriteId = 0;
list_menu.c	40	file	static	sMysteryGiftLinkMenu	sMysteryGiftLinkMenu	plain	struct MysteryGiftLinkMenuStruct	static EWRAM_DATA struct MysteryGiftLinkMenuStruct sMysteryGiftLinkMenu = {0};
load_save.c	27	file	global	gSaveBlock2	gSaveBlock2	plain	struct SaveBlock2	EWRAM_DATA struct SaveBlock2 gSaveBlock2 = {0};
load_save.c	28	file	global	gSaveBlock2_DMA	gSaveBlock2_DMA	plain	u8[SAVEBLOCK_MOVE_RANGE]	EWRAM_DATA u8 gSaveBlock2_DMA[SAVEBLOCK_MOVE_RANGE] = {0};
load_save.c	30	file	global	gSaveBlock1	gSaveBlock1	plain	struct SaveBlock1	EWRAM_DATA struct SaveBlock1 gSaveBlock1 = {0};
load_save.c	31	file	global	gSaveBlock1_DMA	gSaveBlock1_DMA	plain	u8[SAVEBLOCK_MOVE_RANGE]	EWRAM_DATA u8 gSaveBlock1_DMA[SAVEBLOCK_MOVE_RANGE] = {0};
load_save.c	33	file	global	gPokemonStorage	gPokemonStorage	plain	struct PokemonStorage	EWRAM_DATA struct PokemonStorage gPokemonStorage = {0};
load_save.c	34	file	global	gSaveBlock3_DMA	gSaveBlock3_DMA	plain	u8[SAVEBLOCK_MOVE_RANGE]	EWRAM_DATA u8 gSaveBlock3_DMA[SAVEBLOCK_MOVE_RANGE] = {0};
load_save.c	36	file	global	gLoadedSaveData	gLoadedSaveData	plain	struct LoadedSaveData	EWRAM_DATA struct LoadedSaveData gLoadedSaveData = {0};
load_save.c	37	file	global	gLastEncryptionKey	gLastEncryptionKey	plain	u32	EWRAM_DATA u32 gLastEncryptionKey = 0;
mail.c	75	file	static	sMailViewResources	sMailViewResources	plain	struct MailViewResources *	static EWRAM_DATA struct MailViewResources * sMailViewResources = NULL;
mailbox_pc.c	11	file	static	sWindowIds	sWindowIds__mailbox_pc	plain	u8[3]	static EWRAM_DATA u8 sWindowIds[3] = {};
mailbox_pc.c	12	file	static	sListMenuItems	sListMenuItems__mailbox_pc	plain	struct ListMenuItem *	static EWRAM_DATA struct ListMenuItem * sListMenuItems = NULL;
main.c	76	file	global	gDecompressionBuffer	gDecompressionBuffer	plain	u8[0x4000]	EWRAM_DATA u8 gDecompressionBuffer[0x4000] = {0};
main.c	77	file	global	gTrainerId	gTrainerId	plain	u16	EWRAM_DATA u16 gTrainerId = 0;
map_preview_screen.c	15	file	static	sHasVisitedMapBefore	sHasVisitedMapBefore	plain	bool8	static EWRAM_DATA bool8 sHasVisitedMapBefore = FALSE;
map_preview_screen.c	16	file	static	sAllocedBg0TilemapBuffer	sAllocedBg0TilemapBuffer	plain	bool8	static EWRAM_DATA bool8 sAllocedBg0TilemapBuffer = FALSE;
menu.c	25	file	static	sMenu	sMenu__menu	plain	struct Menu	static EWRAM_DATA struct Menu sMenu = {0};
menu.c	26	file	static	sTileNum	sTileNum	plain	u16	static EWRAM_DATA u16 sTileNum = 0;
menu.c	27	file	static	sPaletteNum	sPaletteNum	plain	u8	static EWRAM_DATA u8 sPaletteNum = 0;
menu.c	28	file	static	sYesNoWindowId	sYesNoWindowId	plain	u8	static EWRAM_DATA u8 sYesNoWindowId = 0;
menu.c	29	file	static	sTopBarWindowId	sTopBarWindowId	plain	u8	static EWRAM_DATA u8 sTopBarWindowId = 0;
menu_helpers.c	15	file	static	sYesNo	sYesNo	plain	const struct YesNoFuncTable *	static EWRAM_DATA const struct YesNoFuncTable *sYesNo = NULL;
menu_helpers.c	16	file	static	sMessageNextTask	sMessageNextTask	plain	TaskFunc	static EWRAM_DATA TaskFunc sMessageNextTask = NULL;
menu_helpers.c	17	file	static	sMessageWindowId	sMessageWindowId	plain	u8	static EWRAM_DATA u8 sMessageWindowId = {0};
menu_indicators.c	45	file	static	sTempScrollArrowTemplate	sTempScrollArrowTemplate	plain	struct ScrollArrowsTemplate	static EWRAM_DATA struct ScrollArrowsTemplate sTempScrollArrowTemplate = {0};
mon_markings.c	284	file	static	sMenu	sMenu__mon_markings	plain	struct MonMarkingsMenu *	static EWRAM_DATA struct MonMarkingsMenu *sMenu = NULL;
money.c	10	file	static	sMoneyBoxWindowId	sMoneyBoxWindowId	plain	u8	EWRAM_DATA static u8 sMoneyBoxWindowId = 0;
mystery_event_script.c	27	file	static	sMysteryEventScriptContext	sMysteryEventScriptContext	plain	struct ScriptContext	EWRAM_DATA static struct ScriptContext sMysteryEventScriptContext = {0};
mystery_gift.c	53	file	static	sStatsEnabled	sStatsEnabled	plain	bool32	static EWRAM_DATA bool32 sStatsEnabled = FALSE;
mystery_gift_client.c	23	file	static	sClient	sClient	plain	struct MysteryGiftClient *	static EWRAM_DATA struct MysteryGiftClient * sClient = NULL;
mystery_gift_menu.c	26	file	global	sDownArrowCounterAndYCoordIdx	sDownArrowCounterAndYCoordIdx	plain	u8[8]	EWRAM_DATA u8 sDownArrowCounterAndYCoordIdx[8] = {};
mystery_gift_menu.c	27	file	global	gGiftIsFromEReader	gGiftIsFromEReader	plain	bool8	EWRAM_DATA bool8 gGiftIsFromEReader = FALSE;
mystery_gift_server.c	33	file	static	sServer	sServer	plain	struct MysteryGiftServer *	static EWRAM_DATA struct MysteryGiftServer * sServer = NULL;
mystery_gift_show_card.c	48	file	static	sWonderCardData	sWonderCardData	plain	struct WonderCardData *	static EWRAM_DATA struct WonderCardData * sWonderCardData = NULL;
mystery_gift_show_news.c	41	file	static	sWonderNewsData	sWonderNewsData	plain	struct WonderNewsData *	static EWRAM_DATA struct WonderNewsData * sWonderNewsData = NULL;
naming_screen.c	179	file	static	sNamingScreen	sNamingScreen	plain	struct NamingScreenData *	static EWRAM_DATA struct NamingScreenData * sNamingScreen = NULL;
new_game.c	37	file	global	gDifferentSaveFile	gDifferentSaveFile	plain	bool8	EWRAM_DATA bool8 gDifferentSaveFile = FALSE;
new_menu_helpers.c	17	file	static	sScheduledBgCopiesToVram	sScheduledBgCopiesToVram	plain	bool8[4]	static EWRAM_DATA bool8 sScheduledBgCopiesToVram[4] = {FALSE};
new_menu_helpers.c	18	file	static	sTempTileDataBufferCursor	sTempTileDataBufferCursor	plain	u16	static EWRAM_DATA u16 sTempTileDataBufferCursor = {0};
new_menu_helpers.c	19	file	static	sTempTileDataBuffers	sTempTileDataBuffers	plain	void *[0x20]	static EWRAM_DATA void *sTempTileDataBuffers[0x20] = {NULL};
new_menu_helpers.c	20	file	static	sStartMenuWindowId	sStartMenuWindowId	plain	u8	static EWRAM_DATA u8 sStartMenuWindowId = {0};
oak_speech.c	47	file	static	sOakSpeechResources	sOakSpeechResources	plain	struct OakSpeechResources *	static EWRAM_DATA struct OakSpeechResources *sOakSpeechResources = NULL;
option_menu.c	47	file	static	sOptionMenuPtr	sOptionMenuPtr	plain	struct OptionMenu *	static EWRAM_DATA struct OptionMenu *sOptionMenuPtr = NULL;
overworld.c	91	file	global	gLastUsedWarp	gLastUsedWarp	plain	struct WarpData	EWRAM_DATA struct WarpData gLastUsedWarp = {};
overworld.c	92	file	static	sWarpDestination	sWarpDestination	plain	struct WarpData	static EWRAM_DATA struct WarpData sWarpDestination = {};
overworld.c	93	file	static	sFixedDiveWarp	sFixedDiveWarp	plain	struct WarpData	static EWRAM_DATA struct WarpData sFixedDiveWarp = {};
overworld.c	94	file	static	sFixedHoleWarp	sFixedHoleWarp	plain	struct WarpData	static EWRAM_DATA struct WarpData sFixedHoleWarp = {};
overworld.c	96	file	static	sInitialPlayerAvatarState	sInitialPlayerAvatarState	plain	struct InitialPlayerAvatarState	static EWRAM_DATA struct InitialPlayerAvatarState sInitialPlayerAvatarState = {};
overworld.c	98	file	global	gDisableMapMusicChangeOnMapLoad	gDisableMapMusicChangeOnMapLoad	plain	bool8	EWRAM_DATA bool8 gDisableMapMusicChangeOnMapLoad = MUSIC_DISABLE_OFF;
overworld.c	99	file	static	sAmbientCrySpecies	sAmbientCrySpecies	plain	u16	static EWRAM_DATA u16 sAmbientCrySpecies = SPECIES_NONE;
overworld.c	100	file	static	sIsAmbientCryWaterMon	sIsAmbientCryWaterMon	plain	bool8	static EWRAM_DATA bool8 sIsAmbientCryWaterMon = FALSE;
overworld.c	102	file	global	gExitStairsMovementDisabled	gExitStairsMovementDisabled	plain	bool8	ALIGNED(4) EWRAM_DATA bool8 gExitStairsMovementDisabled = FALSE;
overworld.c	103	file	static	sCreditsOverworld_Script	sCreditsOverworld_Script	plain	const struct CreditsOverworldCmd *	static EWRAM_DATA const struct CreditsOverworldCmd *sCreditsOverworld_Script = NULL;
overworld.c	104	file	static	sCreditsOverworld_CmdLength	sCreditsOverworld_CmdLength	plain	s16	static EWRAM_DATA s16 sCreditsOverworld_CmdLength = 0;
overworld.c	105	file	static	sCreditsOverworld_CmdIndex	sCreditsOverworld_CmdIndex	plain	s16	static EWRAM_DATA s16 sCreditsOverworld_CmdIndex = 0;
overworld.c	107	file	global	gLinkPlayerObjectEvents	gLinkPlayerObjectEvents	plain	struct LinkPlayerObjectEvent[4]	EWRAM_DATA struct LinkPlayerObjectEvent gLinkPlayerObjectEvents[4] = {};
palette.c	60	file	global	gPlttBufferUnfaded	gPlttBufferUnfaded	plain	u16[PLTT_BUFFER_SIZE]	ALIGNED(4) EWRAM_DATA u16 gPlttBufferUnfaded[PLTT_BUFFER_SIZE] = {0};
palette.c	61	file	global	gPlttBufferFaded	gPlttBufferFaded	plain	u16[PLTT_BUFFER_SIZE]	ALIGNED(4) EWRAM_DATA u16 gPlttBufferFaded[PLTT_BUFFER_SIZE] = {0};
palette.c	62	file	static	sPaletteStructs	sPaletteStructs	plain	struct PaletteStruct[NUM_PALETTE_STRUCTS]	static EWRAM_DATA struct PaletteStruct sPaletteStructs[NUM_PALETTE_STRUCTS] = {0};
palette.c	63	file	global	gPaletteFade	gPaletteFade	plain	struct PaletteFadeControl	EWRAM_DATA struct PaletteFadeControl gPaletteFade = {0};
palette.c	64	file	static	sPlttBufferTransferPending	sPlttBufferTransferPending	plain	u32	static EWRAM_DATA u32 sPlttBufferTransferPending = 0;
palette.c	65	file	global	gPaletteDecompressionBuffer	gPaletteDecompressionBuffer	plain	u8[PLTT_SIZE]	EWRAM_DATA u8 gPaletteDecompressionBuffer[PLTT_SIZE] = {0};
party_menu.c	402	file	static	sPartyMenuInternal	sPartyMenuInternal	plain	struct PartyMenuInternal *	static EWRAM_DATA struct PartyMenuInternal *sPartyMenuInternal = NULL;
party_menu.c	403	file	global	gPartyMenu	gPartyMenu	plain	struct PartyMenu	EWRAM_DATA struct PartyMenu gPartyMenu = {0};
party_menu.c	404	file	static	sPartyMenuBoxes	sPartyMenuBoxes	plain	struct PartyMenuBox *	static EWRAM_DATA struct PartyMenuBox *sPartyMenuBoxes = NULL;
party_menu.c	405	file	static	sPartyBgGfxTilemap	sPartyBgGfxTilemap	plain	u8 *	static EWRAM_DATA u8 *sPartyBgGfxTilemap = NULL;
party_menu.c	406	file	static	sPartyBgTilemapBuffer	sPartyBgTilemapBuffer	plain	u8 *	static EWRAM_DATA u8 *sPartyBgTilemapBuffer = NULL;
party_menu.c	407	file	global	gPartyMenuUseExitCallback	gPartyMenuUseExitCallback	plain	bool8	EWRAM_DATA bool8 gPartyMenuUseExitCallback = FALSE;
party_menu.c	408	file	global	gSelectedMonPartyId	gSelectedMonPartyId	plain	u8	EWRAM_DATA u8 gSelectedMonPartyId = 0;
party_menu.c	409	file	global	gPostMenuFieldCallback	gPostMenuFieldCallback	plain	MainCallback	EWRAM_DATA MainCallback gPostMenuFieldCallback = NULL;
party_menu.c	410	file	static	sSlot1TilemapBuffer	sSlot1TilemapBuffer	plain	u16 *	static EWRAM_DATA u16 *sSlot1TilemapBuffer = NULL; // for switching party slots
party_menu.c	411	file	static	sSlot2TilemapBuffer	sSlot2TilemapBuffer	plain	u16 *	static EWRAM_DATA u16 *sSlot2TilemapBuffer = NULL;
party_menu.c	412	file	static	sSacredAshQuestLogMonBackup	sSacredAshQuestLogMonBackup	plain	struct Pokemon *	static EWRAM_DATA struct Pokemon *sSacredAshQuestLogMonBackup = NULL;
party_menu.c	413	file	global	gSelectedOrderFromParty	gSelectedOrderFromParty	plain	u8[3]	EWRAM_DATA u8 gSelectedOrderFromParty[3] = {0};
party_menu.c	414	file	static	sPartyMenuItemId	sPartyMenuItemId	plain	u16	static EWRAM_DATA u16 sPartyMenuItemId = ITEM_NONE;
party_menu.c	415	file	global	gBattlePartyCurrentOrder	gBattlePartyCurrentOrder	plain	u8[PARTY_SIZE / 2]	ALIGNED(4) EWRAM_DATA u8 gBattlePartyCurrentOrder[PARTY_SIZE / 2] = {0}; // bits 0-3 are the current pos of Slot 1, 4-7 are Slot 2, and so on
player_pc.c	36	file	static	sItemOrder	sItemOrder	plain	const u8 *	static EWRAM_DATA const u8 *sItemOrder = NULL;
player_pc.c	37	file	static	sTopMenuItemCount	sTopMenuItemCount	plain	u8	static EWRAM_DATA u8 sTopMenuItemCount = 0;
player_pc.c	38	file	global	gPlayerPcMenuManager	gPlayerPcMenuManager	plain	struct PlayerPCItemPageStruct	EWRAM_DATA struct PlayerPCItemPageStruct gPlayerPcMenuManager = {};
pokedex_screen.c	94	file	static	sPokedexScreenData	sPokedexScreenData	plain	struct PokedexScreenData *	EWRAM_DATA static struct PokedexScreenData * sPokedexScreenData = NULL;
